Distance: 366.750000, Angle: 99.671875 --- diff is 1.562500
Distance: 363.000000, Angle: 101.109375 --- diff is 1.437500
Distance: 359.250000, Angle: 102.453125 --- diff is 1.343750
Distance: 355.750000, Angle: 104.250000 --- diff is 1.796875
Distance: 353.000000, Angle: 105.546875 --- diff is 1.296875
Distance: 350.250000, Angle: 106.953125 --- diff is 1.406250
Distance: 348.000000, Angle: 108.734375 --- diff is 1.781250
Distance: 346.000000, Angle: 110.203125 --- diff is 1.468750
Distance: 344.000000, Angle: 111.437500 --- diff is 1.234375
Distance: 342.500000, Angle: 112.734375 --- diff is 1.296875
Distance: 341.500000, Angle: 114.375000 --- diff is 1.640625
Distance: 340.750000, Angle: 115.921875 --- diff is 1.546875
Distance: 339.500000, Angle: 117.515625 --- diff is 1.593750
Distance: 339.250000, Angle: 119.062500 --- diff is 1.546875
Distance: 339.500000, Angle: 120.390625 --- diff is 1.328125
Distance: 343.500000, Angle: 121.718750 --- diff is 1.328125
Distance: 0.000000, Angle: 126.671875 --- diff is 4.953125
Distance: 0.000000, Angle: 128.109375 --- diff is 1.437500
Distance: 0.000000, Angle: 129.562500 --- diff is 1.453125
Distance: 0.000000, Angle: 131.015625 --- diff is 1.453125
Distance: 3633.750000, Angle: 124.859375 --- diff is -6.156250
Distance: 0.000000, Angle: 133.906250 --- diff is 9.046875
Distance: 0.000000, Angle: 135.359375 --- diff is 1.453125
Distance: 0.000000, Angle: 136.796875 --- diff is 1.437500
Distance: 0.000000, Angle: 138.296875 --- diff is 1.500000
Distance: 0.000000, Angle: 139.734375 --- diff is 1.437500
Distance: 0.000000, Angle: 141.187500 --- diff is 1.453125
Distance: 0.000000, Angle: 142.640625 --- diff is 1.453125
Distance: 0.000000, Angle: 144.093750 --- diff is 1.453125
Distance: 0.000000, Angle: 145.531250 --- diff is 1.437500
Distance: 0.000000, Angle: 146.984375 --- diff is 1.453125
Distance: 0.000000, Angle: 148.437500 --- diff is 1.453125
Distance: 0.000000, Angle: 149.890625 --- diff is 1.453125
Distance: 0.000000, Angle: 151.343750 --- diff is 1.453125
Distance: 0.000000, Angle: 152.781250 --- diff is 1.437500
Distance: 0.000000, Angle: 154.234375 --- diff is 1.453125
Distance: 0.000000, Angle: 155.687500 --- diff is 1.453125
Distance: 0.000000, Angle: 157.125000 --- diff is 1.437500
Distance: 0.000000, Angle: 158.578125 --- diff is 1.453125
Distance: 0.000000, Angle: 160.031250 --- diff is 1.453125
Distance: 0.000000, Angle: 161.468750 --- diff is 1.437500
Distance: 0.000000, Angle: 163.171875 --- diff is 1.703125
Distance: 0.000000, Angle: 164.625000 --- diff is 1.453125
Distance: 0.000000, Angle: 166.078125 --- diff is 1.453125
Distance: 0.000000, Angle: 167.546875 --- diff is 1.468750
Distance: 0.000000, Angle: 169.015625 --- diff is 1.468750
Distance: 0.000000, Angle: 170.468750 --- diff is 1.453125
Distance: 264.250000, Angle: 169.203125 --- diff is -1.265625
Distance: 0.000000, Angle: 173.406250 --- diff is 4.203125
Distance: 0.000000, Angle: 174.859375 --- diff is 1.453125
Distance: 3594.000000, Angle: 168.718750 --- diff is -6.140625
Distance: 3728.000000, Angle: 170.171875 --- diff is 1.453125
Distance: 0.000000, Angle: 179.250000 --- diff is 9.078125
Distance: 4055.250000, Angle: 173.078125 --- diff is -6.171875
Distance: 0.000000, Angle: 182.171875 --- diff is 9.093750
Distance: 5224.500000, Angle: 175.921875 --- diff is -6.250000
Distance: 5440.250000, Angle: 177.359375 --- diff is 1.437500
Distance: 0.000000, Angle: 186.578125 --- diff is 9.218750
Distance: 3036.500000, Angle: 180.515625 --- diff is -6.062500
Distance: 0.000000, Angle: 189.500000 --- diff is 8.984375
Distance: 3001.250000, Angle: 183.437500 --- diff is -6.062500
Distance: 3013.000000, Angle: 184.890625 --- diff is 1.453125
Distance: 181.500000, Angle: 193.656250 --- diff is 8.765625
Distance: 181.750000, Angle: 195.109375 --- diff is 1.453125
Distance: 184.250000, Angle: 196.578125 --- diff is 1.468750
Distance: 171.750000, Angle: 198.531250 --- diff is 1.953125
Distance: 172.500000, Angle: 200.000000 --- diff is 1.468750
Distance: 174.500000, Angle: 200.968750 --- diff is 0.968750
Distance: 177.500000, Angle: 202.421875 --- diff is 1.453125
Distance: 181.000000, Angle: 203.890625 --- diff is 1.468750
Distance: 184.750000, Angle: 205.359375 --- diff is 1.468750
Distance: 188.000000, Angle: 206.812500 --- diff is 1.453125
Distance: 173.750000, Angle: 208.265625 --- diff is 1.453125
Distance: 176.750000, Angle: 209.921875 --- diff is 1.656250
Distance: 0.000000, Angle: 211.640625 --- diff is 1.718750
Distance: 0.000000, Angle: 213.125000 --- diff is 1.484375
Distance: 0.000000, Angle: 214.593750 --- diff is 1.468750
Distance: 0.000000, Angle: 216.062500 --- diff is 1.468750
Distance: 0.000000, Angle: 217.546875 --- diff is 1.484375
Distance: 0.000000, Angle: 219.015625 --- diff is 1.468750
Distance: 225.250000, Angle: 220.234375 --- diff is 1.218750
Distance: 0.000000, Angle: 221.953125 --- diff is 1.718750
Distance: 0.000000, Angle: 223.421875 --- diff is 1.468750
Distance: 0.000000, Angle: 224.890625 --- diff is 1.468750
Distance: 0.000000, Angle: 226.375000 --- diff is 1.484375
